term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high
vl,1.00001516675295,1.38859812106071e-06,1.83728408343712e-06,8.25492261595498,1.52000692468454e-16,1.00001156569418,1.00001876782468
genderfemale,1.02093839967442,0.0606445137500169,0.0566182065470622,0.365998948049211,0.714365860531436,0.913705068593698,1.14075674061216
ethnicasian,1.03241496033921,0.188241520220453,0.233466170121532,0.136639409370703,0.891315824459459,0.653322363940741,1.63147736731829
ethnicafro,0.572384668460314,0.0858793607266406,0.0899892383091589,-6.20011933429487,5.64203645872095e-10,0.479831785967754,0.682789715624302
ethnicother,1.08719502002596,0.0653241907430663,0.0806205235855178,1.0369692427705,0.299750191599775,0.928288863463455,1.27330301815668
nrti_regimen3tc + abc,0.72650878786237,0.0647418978114336,0.065843452812872,-4.85249005379567,1.21920900372148e-06,0.638549873584257,0.826583859266248
nrti_regimenftc + taf,0.913224679462483,0.122315904588136,0.0933736701488798,-0.972151349436703,0.330975259531895,0.760497564312199,1.09662325603056
nrti_regimenother,1.06595202677478,0.161326503198773,0.153305731310897,0.416607527711578,0.676965502345483,0.789302693080643,1.43956651021988
pi_regimendrv + rtvb + rtv,0.493333746943022,0.100272825596135,0.0945414954798861,-7.47364275240119,7.80047316954749e-14,0.409889655399095,0.593765133291477
pi_regimendrv,1.12092492214342,0.110465862766252,0.10454481596317,1.09191610117786,0.274869979875241,0.913246079511486,1.37583145361472
pi_regimenrtvb + atv,0.993224043846558,0.117836936855461,0.122216885617244,-0.0556307513703517,0.955635966379409,0.781656642231447,1.26205541919109
pi_regimendrv + rtv,0.864829239169546,0.15997857337199,0.180987759112986,-0.802392402750693,0.42232600636671,0.606559353896827,1.23306912689998
pi_regimenrtvb + rtv,1.86935901829353,0.16688726428438,0.219551633030824,2.84942358435221,0.00437985256148714,1.21565412651609,2.8745866633054
pi_regimenatv,3.52729514909476,0.316397307855331,0.532850473788528,2.36563800262856,0.0179990338037512,1.24130543095061,10.0231665459639
pi_regimenrtvb,4.29598223965552,0.178634453455889,0.191764328330248,7.60141490198982,2.92910358167285e-14,2.95007043398204,6.25593992294084
pi_regimendrv + atv,0.812512510409504,0.215889345060515,0.243939767282008,-0.851128005011485,0.394698250243537,0.503718788607733,1.31060543005884
pi_regimenlpv,3.14727547299155,0.304447083929375,0.653678594886405,1.75397689067769,0.0794344669993935,0.874022330326192,11.3330547277865
pi_regimenrtv,9.70848553810009,0.719211787079535,0.699635613635981,3.2488344740291,0.00115878886961968,2.4638857965909,38.2544887323561
pi_regimenrtvb + lpv,0.887781589687781,0.714306675050096,0.68391971537782,-0.174040199638838,0.861833869559651,0.232355318364731,3.39202974365057
pi_regimendrv + lpv,,0,0,,,,
ini_regimendtg,1.13729661540152,0.112700282017819,0.108129308261623,1.18981669519338,0.234118446208294,0.920097631239829,1.40576776581942
ini_regimenevg,1.05865685399008,0.143951327938976,0.133481233806661,0.42703370464294,0.669354778658511,0.814959039651759,1.37522780896951
ini_regimenral,0.83071562800213,0.116032987975411,0.0965932944584593,-1.92008925984026,0.0548466256845854,0.687435600692467,1.00385905808753
nnrti_regimenrpv,1.09559888939591,0.089844580069292,0.0893696703268282,1.0216121909986,0.306964485405488,0.919559810361401,1.30533861193195
nnrti_regimenefv,1.27884313874261,0.0920616757451093,0.0928197026187157,2.6498239540045,0.00805337226956064,1.06612715097024,1.53400067901909
nnrti_regimennvp,1.32208995613085,0.116611708706519,0.112651059483109,2.47857220234247,0.0131909410263063,1.06016204087643,1.64873083991676
pkTRUE,0.764639427472919,0.117158171115421,0.103915378081962,-2.58239827308984,0.0098116283075074,0.623740232481792,0.937366909490131
