term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high
relcd4,0.989032436332283,0.000778180836030059,0.000901885052402595,-12.227889538109,2.20595704791701e-34,0.987285705329356,0.990782257696167
genderfemale,0.693685765830809,0.0481697621955099,0.0494311405280087,-7.39890287974212,1.37314229831327e-13,0.629632185173577,0.764255628996504
ethnicasian,,0,0,,,,
ethnicafro,0.973235049206493,0.0560870391610157,0.0547966803709048,-0.495096676394156,0.620531879787419,0.874127376425427,1.08357944911564
ethniccaucasian,1.20008197054711,0.0383730533365839,0.0533101354399533,3.42129806546291,0.000623229877149859,1.08101878699191,1.3322587482867
nrti_regimen3tc + abc,1.02629271264034,0.0560580183332493,0.0739562860656367,0.350923530797141,0.72564571771785,0.887808993898138,1.18637763219091
nrti_regimenftc + taf,0.19999848073862,1.01048053022226,0.186356606902848,-8.63637482737006,5.80249130432846e-18,0.138803259663128,0.288173292146263
nrti_regimennone,3.97586869174076,0.580949167728282,0.711452911744595,1.94003459715739,0.0523754854177783,0.985921225392005,16.0332605149861
other_base1,,0,0,,,,
pi_regimendrv + rtvb + rtv,0.900350659188351,0.0840457883266142,0.116285319832822,-0.902701823162419,0.366684168584641,0.71685190414731,1.13082117074815
pi_regimendrv,2.01855313422468,0.0767124631077288,0.116128388740902,6.04831421669311,1.46369277356477e-09,1.60765006381557,2.53447988924765
pi_regimenrtvb + atv,1.56129259408536,0.091118609973111,0.117209257825807,3.80101429178808,0.000144104989083273,1.24083946706635,1.96450437711251
pi_regimendrv + rtv,0.240323529440053,0.15393204303983,0.151646231527099,-9.4019429941528,5.35646334302205e-21,0.178531472588828,0.323502618138032
pi_regimenrtvb + rtv,2.03717476648813,0.142429647514451,0.287928825916052,2.47131883137536,0.0134615740718644,1.15862481863107,3.58190240920208
pi_regimenatv,1.03956588593453,0.38529077523101,0.312779050863512,0.12405948714478,0.901268174866005,0.563136929618746,1.91906652602326
pi_regimenrtvb,2.94903766734682,0.106396465929695,0.130281914766863,8.30106699466917,1.03180486065345e-16,2.28446312817595,3.80694398441634
pi_regimendrv + atv,0.90136506020688,0.225456897982347,0.348649377996427,-0.297849179510915,0.765818277219301,0.455124097582697,1.78513723197029
pi_regimenlpv,10.1457102325414,0.385522719634273,0.222140836101383,10.4305494641517,1.79845271084978e-25,6.56441201867794,15.6808310980191
pi_regimenrtv,,0,0,,,,
pi_regimenrtvb + lpv,6.93556859809762,0.58315230730792,0.447848926202431,4.32436682713491,1.52970577112711e-05,2.88318410131269,16.6836768269558
pi_regimendrv + lpv,,0,0,,,,
ini_regimendtg,0.342931022422761,0.0784518348339189,0.107157531611937,-9.98740766746747,1.73048061643435e-23,0.277967562020353,0.423077014041335
ini_regimenevg,0.756698205751118,0.111737306882637,0.14098096570003,-1.97750650273767,0.0479844062064941,0.574010039893556,0.997529894587108
ini_regimenral,0.446659175801205,0.0758280544798204,0.0951569890348525,-8.46978717606377,2.4584179565449e-17,0.370662358067528,0.538237603536386
nnrti_regimenrpv,0.838280203981367,0.0741950361095335,0.102548551414751,-1.72018872683789,0.0853981415259254,0.685645650249785,1.02489339811467
nnrti_regimenefv,1.1671132059038,0.0797417395518393,0.105335912502238,1.46705288675618,0.142361669019567,0.949403638674921,1.43474617107662
nnrti_regimennvp,1.15414296326656,0.105499550762794,0.110781433037505,1.29406202340737,0.195643997866608,0.928885709050219,1.43402570055655
pkTRUE,0.580241429445902,0.106846441853146,0.123380539442022,-4.41164390145407,1.02588737336886e-05,0.455603475932414,0.738976180452514
